ignore,publish,id,track,chords,key,album,artists,composer,language,loop_start,loop_end,title,channel,upload_date,uploader,baritone,id_related
0,0,48puHLd-99E,Kuchh Na Kaho  - Hindi Ukulele Lesson,,,1942 A Love Story,Kumar Sanu,R D Burman,Hindi,0.0,346.0,Kuchh Na Kaho ( 1942 A love story ) - Hindi Ukulele Lesson,UCtYAlKT4ZHsP37o8d7gIjkQ,20180113,ukeguide,0.0,
0,0,15mWbOaO5Nw,Kuchh Na Kaho-Ukulele Cover,,,With Chords,,,Hindi,0.0,151.0,Kuchh Na Kaho-Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20210120,One String by Priyanka Ravindran,0.0,
0,0,QDCm4OZTWyY,Kun Faya -,,,,,,Hindi,0.0,510.0,Kun Faya - Ukulele Tutorial,UC8JGJmLrRlz5Kf9GguiCq6g,20200923,One String by Priyanka Ravindran,0.0,
0,0,DAVWhImiTv4,Kun Faya Kun - Ukulele Cover & Tutorial,,,Rockstar,,,Hindi,0.0,204.0,Kun Faya kun - Ukulele Cover & Tutorial |Rockstar|,UCTxnAa2uGE2lk1CSfL8Amjw,20210128,the chashmish,0.0,
0,0,qER89YsHaq8,Kun Faya Kun-Ukelele Cover,,,With Chords,,,Hindi,0.0,146.0,Kun Faya Kun-Ukelele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200602,One String by Priyanka Ravindran,0.0,
0,0,qm7XAqLheUA,Kya Khoob Lagti Ho,,,Dharmatama,Easiest,,Hindi,0.0,439.0,Kya Khoob Lagti Ho | Dharmatama | Easiest Ukulele Tutorial,UChYG9VnF6VjXy4IJMwyt9hA,20191117,Avni Kulshreshtha,0.0,
0,0,S8M3T0gf8HE,Kya Mujhe Pyaar Hai,,,Woh Lamhe,Kk,,Hindi,0.0,286.0,KYA MUJHE PYAAR HAI | KK | EASY UKUELE TUTORIAL | Valentine's Special 💟,UChYG9VnF6VjXy4IJMwyt9hA,20180122,Avni Kulshreshtha,0.0,
0,0,cFT23HLT8_0,Kya Mujhe Pyar Hai,"C,Dm,Bb",,,,,Hindi,0.0,955.0,Kya mujhe pyar hai Playalong Ukulele Tutorial,UCJjV2CHB58Xerdqbwyka7QA,20200527,Sayali Tank,0.0,
0,0,rh5YMMB8feg,Kya Pata  - Hindi Ukulele Lesson,,,Osho Jain,Osho Jain,Osho Jain,Hindi,0.0,758.0,Kya Pata (Osho Jain) - Hindi Ukulele Lesson | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20200625,ukeguide,0.0,
0,0,l_uNinPHYWA,Laare - Ukelele Cover,,,With Chords,,,Hindi,0.0,137.0,Laare - Ukelele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200724,One String by Priyanka Ravindran,0.0,
0,0,uMHrP12sriU,Labb Par Aaye,,,Bandish Bandits,Ukulele,,Hindi,0.0,76.0,LABB PAR AAYE (BANDISH BANDITS) | Javed Ali |  Easy Ukulele Playalong | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20201203,ukeguide,0.0,
0,0,QzxJE8a_yJo,Lag Ja Gale,,,,,,Hindi,0.0,196.0,Lag Ja Gale | Easy Ukulele Tutorial,UCOrDZAyo1Hga3PRMC2GFlgw,20200818,Tarun Mishra,0.0,
0,0,TQam_NhN5d8,Lag Ja Gale,,,Woh Kaun Thi,Lata Mangeshkar,,Hindi,0.0,133.0,Lag Ja Gale | Lata Mangeshkar | EASIEST Ukulele Tutorial |,UChYG9VnF6VjXy4IJMwyt9hA,20171128,Avni Kulshreshtha,0.0,
0,0,LW9cEMTt39c,Lag Jaa Gale,,,Tutorial,,,Hindi,0.0,822.0,Lag jaa gale Ukulele Tutorial | Play along Tutorial  | Sayali Tank,UCJjV2CHB58Xerdqbwyka7QA,20190612,Sayali Tank,0.0,
0,0,dDlbS_WrxEQ,Lamberghini,,,Doorbeen,,,Hindi,0.0,308.0,LAMBERGHINI | Doorbeen | Easy  Ukulele Tutorial,UChYG9VnF6VjXy4IJMwyt9hA,20190119,Avni Kulshreshtha,0.0,
0,0,7zVlQLaS3Cs,Life Of Ram Telugu,,,3 Chords,,,Telugu,0.0,337.0,LIFE OF RAM TELUGU UKULELE TUTORIAL EASY 3 CHORDS,UCTSDR18UOA5SMGmq7Ok7Whw,20201227,Aishu's Telugu Ukulele Tutorials,0.0,
0,0,D0_Hah1VIAI,Liggi  - Hindi Ukulele Lesson,,,Ritviz,,,Hindi,0.0,482.0,LIGGI (Ritviz) - Hindi Ukulele Lesson | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20200111,ukeguide,0.0,
